pant0,ae,white,true,false,false,false,false,false,true,false,false,true
pant1,generic,black,true,false,false,true,false,false,true,false,false,false
pant2,generic,black,true,false,false,true,true,false,true,false,false,false
pant3,x,blue,true,false,false,true,false,false,true,false,false,false
pant4,helias,white,true,false,false,true,false,false,true,false,false,false
pant5,x,green,true,false,false,true,false,false,true,false,false,false
pant6,ae,gray,true,false,false,false,false,false,true,false,false,false
pant7,generic,purple,true,false,false,true,false,false,true,false,false,false
pant8,addidas,pink,true,false,false,true,true,false,true,false,false,false
pant9,addidas,black,true,false,false,true,false,false,true,false,false,false
pant10,ae,blue,true,false,true,false,false,true,false,true,true,false
pant11,addidas,black,true,false,false,false,false,false,true,true,false,false
pant12,generic,black,true,false,false,false,false,false,true,true,false,false
pant13,pi,gray,true,false,false,false,false,false,true,true,false,false
pant14,generic,black,true,false,false,false,false,false,true,true,false,false
pant15,x,gray,true,false,false,true,false,false,true,false,false,false
pant16,generic,pink,true,false,false,false,true,false,false,false,false,false
pant17,addidas,green,true,false,false,false,false,false,true,true,false,false
pant18,generic,black,true,false,false,false,false,true,false,true,false,true
pant19,kaki,brown,true,true,false,false,false,true,false,true,false,true
pant20,pi,brown,true,false,false,false,false,false,true,true,false,false
pant21,generic,gray,true,false,false,false,false,false,true,true,false,false
pant22,generic,blue,true,false,false,false,false,true,false,false,false,true
pant23,generic,pink,true,false,false,false,false,true,false,false,false,true
pant24,ae,peach,true,false,false,false,false,true,true,false,false,true
pant25,ae,blue,true,false,true,false,false,true,false,true,true,false
pant26,ae,blue,true,false,true,false,false,true,false,true,true,false
pant27,ae,blue,true,false,true,false,false,true,false,true,true,false
pant28,ae,blue,true,false,true,false,false,true,false,true,true,false
pant29,ae,blue,true,false,true,false,false,true,false,true,true,false
pant30,kaki,brown,true,true,false,false,false,true,false,true,false,true
pant31,kaki,brown,true,true,false,false,false,true,false,true,false,true
pant32,kaki,brown,true,true,false,false,false,true,false,true,false,true
pant33,kaki,brown,true,true,false,false,false,true,false,true,false,true
pant34,kaki,brown,true,true,false,false,false,true,false,true,false,true
pant35,kaki,brown,true,true,false,false,false,true,false,true,false,true
